url,product_title,vendeur,retrait,product_price,licence,Descriptif_produit,marque,GTIN,ref_EAN,etoile,etoile_qualite_prix
https://www.auchan.fr/fleury-michon-hachis-parmentier/pr-C1496148,Hachis parmentier,,,,,,,,"395927,/,3302740057465",4.2,
https://www.auchan.fr/grand-caractere-saucisson-ail-fume-au-bois-hetre/pr-C1204950,Saucisson ail fumé au bois hêtre,,,,,,,,"322965,/,3440970011106",5.0,5.0
https://www.auchan.fr/pampers-couches-harmonie-taille-4-9-14kg/pr-C1317274,Couches Harmonie taille 4 (9-14kg),,,,,,,,"933111,/,8001841699745",5.0,
https://www.auchan.fr/stoeffler-saucisse-de-viande/pr-C1217159,Saucisse de viande,,,,,,,,"676591,/,3180950065094","4,2",
https://www.auchan.fr/biolane-spray-d-huile-d-amande-douce-corps-et-bain-pour-bebe/pr-C872168,Spray d'huile d'amande douce corps et bain pour bébé,,,,,,,,"74516,/,3286018000516",,
https://www.auchan.fr/randy-saucisson-a-cuire-de-lyon-pistache/pr-C1220972,Saucisson à cuire de Lyon pistaché,,,,,,,,"218419,/,3325427284817",,
https://www.auchan.fr/noix-de-cajou-grillees/pr-C1729238,Noix de cajou grillées,,,,,,,,"539623,/,8435177075445",,
https://www.auchan.fr/mon-patissier-flan-coco/pr-C1418776,Flan coco,,,,,,,,"649395,/,2030506493950",5.0,
https://www.auchan.fr/auchan-noix-de-cajou-grillees-et-salees-en-barquette/pr-C1729239,Noix de cajou grillées et salées en barquette,,,,,,,,"539692,/,8435177075490",,
https://www.auchan.fr/auchan-cervelas-d-alsace/pr-C1221271,Cervelas d'Alsace,,,,,,,,"37766,/,3254560377660",,
https://www.auchan.fr/mon-patissier-eclairs-a-la-vanille/pr-C1350486,Eclairs à la vanille,,,,,,,,"541463,/,2030505414635",4.0,5.0
https://www.auchan.fr/the-simpsons-donuts-brown-glazed/pr-C1750872,Donuts brown glazed,,,,,,,,"10012,/,4065698202125",,
https://www.auchan.fr/pain-frais-baguette-aux-graines/pr-C1199860,Baguette aux graines,,,,,,,,"27257,/,2030500272575",4.7,
https://www.auchan.fr/herta-knacki-gourmande-saucisse-pur-porc/pr-C1220801,Knacki gourmande saucisse pur porc,,,,,,,,"322107,/,3154230033431",4.3,
https://www.auchan.fr/mon-patissier-entremet-creme-au-beurre-cafe/pr-C1507485,Entremet crème au beurre café,,,,,,,,"30606,/,2030500306065",,
https://www.auchan.fr/herta-knacki-saucisse-reduit-en-sel-pur-porc/pr-C1491320,Knacki saucisse réduit en sel pur porc,,,,,,,,"344634,/,3154230801856",4.7,
https://www.auchan.fr/chouquette-surgele/pr-C1507488,CHOUQUETTE SURGELE,,,,,,,,"24685,/,2030500246859",,
https://www.auchan.fr/herta-knacki-saucisse-sans-nitrite-pur-porc/pr-C1491321,Knacki saucisse sans nitrite pur porc,,,,,,,,"344658,/,3154230801955",4.1,
https://www.auchan.fr/pain-frais-cultivons-le-bon-baguette-saveur-de-tradition-francaise/pr-C1321579,CULTIVONS LE BON Baguette saveur de Tradition Française,,,,,,,,"808437,/,2030508084378",2.3,
https://www.auchan.fr/mon-charcutier-jambon-sec-superieur-de-savoie-7-mois-d-affinage/pr-C1601650,Jambon sec supérieur de Savoie 7 mois d'affinage,,,,,,,,"650414,/,2030506504144",,
https://www.auchan.fr/pierre-schmidt-aspic-medaillon-mousse-au-foie-de-canard/pr-C1350258,Aspic médaillon mousse au foie de canard,,,,,,,,"19761,/,3234510208008",,
https://www.auchan.fr/herta-knacki-100-pur-porc-fumage-traditionnel-au-bois-de-hetre/pr-C1501072,Knacki 100% pur porc fumage traditionnel au bois de hêtre,,,,,,,,"624055,/,3154230801313","4,4",
https://www.auchan.fr/auchan-saucisson-a-l-ail-fume-a-l-ancienne/pr-C1221165,Saucisson à l'ail fumé à l'ancienne,,,,,,,,"16490,/,3596710489930",4.0,
https://www.auchan.fr/le-bio-des-eleveurs-jambon-cuit-superieur-sans-nitrite/pr-C1474991,Jambon cuit supérieur sans nitrite,,,,,,,,"843040,/,3483190092623",,
https://www.auchan.fr/mon-traiteur-risotto-parmesan/pr-C1776625,Risotto parmesan,,,,,,,,"312094,/,2030503120941",,
https://www.auchan.fr/metzger-cervelas-de-strasbourg/pr-C1219198,Cervelas de Strasbourg,,,,,,,,"36387,/,3272120052291",4.5,
https://www.auchan.fr/daco-bello-noix-de-cajou-aux-herbes-de-provences/pr-C1394609,Noix de cajou aux herbes de Provences,,,,,,,,"270279,/,3270720021785",,
https://www.auchan.fr/la-compagnie-des-charcutiers-saucisson-a-l-ail-fume/pr-C1179677,Saucisson à l'ail fumé,,,,,,,,"875788,/,3338910009002",3,
https://www.auchan.fr/cookie-aux-pepites-de-chocolat/pr-C1348415,Cookie aux pépites de chocolat,,,,,,,,"543312,/,2030505433124",5.0,
https://www.auchan.fr/biolane-creme-de-change-pour-bebe/pr-C872103,Crème de change pour bébé,,,,,,,,"571866,/,3286011092310",5.0,
https://www.auchan.fr/corine-de-farme-liniment-bebe-bio-3en1-hypoallergenique/pr-C1189100,Liniment bébé bio 3en1 hypoallergénique,,,,,,,,"108922,/,3468080081116",4.8,5.0
https://www.auchan.fr/au-fume-vosgien-cervelas-thaonnais-superieur/pr-C1371518,Cervelas Thaonnais supérieur,,,,,,,,"863836,/,3455570027006",5.0,
https://www.auchan.fr/religieuses-au-chocolat/pr-C1352325,Religieuses au chocolat,,,,,,,,"21231,/,2030500212311",,
https://www.auchan.fr/donuts-avec-nappage-au-chocolat/pr-C1352519,Donuts avec nappage au chocolat,,,,,,,,"39127,/,5413476930958",,
https://www.auchan.fr/harrys-toasts-aux-aromates-pour-saumon/pr-C1426760,Toasts aux aromates pour saumon,,,,,,,,"207997,/,3228857001682",5.0,
https://www.auchan.fr/seillier-gateau-battu-picard/pr-C1663927,Gâteau battu picard,,,,,,,,"243479,/,3515950000040",,
https://www.auchan.fr/mon-charcutier-mortadelle/pr-C1602915,Mortadelle,,,,,,,,"782042,/,2030507820427",5.0,
https://www.auchan.fr/stoeffler-la-saucisse-de-strasbourg/pr-C1221282,La saucisse de Strasbourg,,,,,,,,"19699,/,3235080008647",3.7,5.0
https://www.auchan.fr/viennoiseries-pain-au-chocolat-pur-beurre/pr-C1199974,Pain au chocolat pur beurre,,,,,,,,"47591,/,2030500475914",1,
https://www.auchan.fr/pierre-schmidt-saucisse-de-foie-aux-fines-herbes/pr-C1221172,Saucisse de foie aux fines herbes,,,,,,,,"14649,/,3237550023501",5.0,
https://www.auchan.fr/harrys-toasts-au-seigle-pour-huitres/pr-C1426758,Toasts au seigle pour huîtres,,,,,,,,"207988,/,3228857001699",,
https://www.auchan.fr/blini-guacamole-extra-morceaux-d-avocats-et-piment-doux/pr-C1430459,Guacamole extra morceaux d'avocats et piment doux,,,,,,,,"103103,/,3292070010127",4.3,
https://www.auchan.fr/saucisson-a-l-ail-fume/pr-C1186734,Saucisson à l'ail fumé,,,,,,,,"188378,/,3276230020928,/,3700133900266",,
